concept,supersense,zipf,conc,aoa,polysemy,n_tokens
circle,noun.shape,4.55,4.44,3.67,8,1
fold,noun.shape,4.08,4.13,4.95,7,1
compartmentalization,noun.state,2.09,2.39,13.11,2,3
airsickness,noun.state,1.22,3.27,10.17,1,2
flakiness,noun.state,1.6,3.04,11.11,2,3
muddiness,noun.state,1.25,3.11,7.11,3,3
puffiness,noun.state,1.96,3.5,7.78,2,2
smother,noun.state,2.85,3.1,6.63,2,2
wholeness,noun.state,2.63,2.52,10.21,2,3
soundness,noun.state,2.56,2.35,11.9,3,2
excommunication,noun.state,2.7,2.3,14.0,2,2
gangrene,noun.state,2.68,4.16,11.94,2,2
seniority,noun.state,3.16,2.34,12.75,2,2
backseat,noun.state,3.19,4.61,5.11,2,2
polygamy,noun.state,3.07,2.83,12.95,1,3
upheaval,noun.state,3.13,2.48,12.76,4,2
rabies,noun.state,3.24,3.83,8.22,1,2
anesthesia,noun.state,3.39,3.41,12.53,1,1
amnesty,noun.state,3.63,2.18,12.95,3,1
footing,noun.state,3.5,3.57,9.05,3,1
famine,noun.state,3.61,3.55,10.0,2,1
hepatitis,noun.state,3.52,3.96,14.24,1,1
slavery,noun.state,4.21,3.11,8.32,3,1
divide,noun.state,4.12,2.86,7.16,2,1
survival,noun.state,4.37,2.34,8.47,3,1
emphasis,noun.state,4.19,2.12,10.72,4,1
soil,noun.state,4.42,4.87,6.48,4,1
impregnation,noun.substance,2.25,3.28,13.11,3,3
exhalation,noun.substance,2.39,3.58,12.22,2,3
riboflavin,noun.substance,2.23,3.54,14.37,1,4
turpentine,noun.substance,2.56,4.86,10.0,2,3
glycerin,noun.substance,2.62,4.41,14.26,1,3
smut,noun.substance,2.87,3.14,12.74,5,2
slush,noun.substance,2.99,4.04,6.95,1,2
shingle,noun.substance,2.98,4.82,8.56,3,2
lye,noun.substance,2.72,3.92,12.67,1,2
impurity,noun.substance,2.69,1.93,10.28,2,2
lube,noun.substance,3.13,4.0,12.65,1,2
particulate,noun.substance,3.04,3.19,14.2,1,2
fluff,noun.substance,3.2,3.8,4.85,3,2
sludge,noun.substance,3.23,4.23,8.8,2,2
cyanide,noun.substance,3.24,4.32,14.0,2,2
shale,noun.substance,3.69,3.84,11.94,1,1
alloy,noun.substance,3.61,4.29,14.53,2,1
ozone,noun.substance,3.42,3.5,12.79,1,1
uranium,noun.substance,3.85,4.29,10.63,1,1
calcium,noun.substance,3.82,4.07,9.89,1,1
junk,noun.substance,4.03,3.88,6.62,2,1
extract,noun.substance,4.02,3.56,11.05,2,1
trash,noun.substance,4.42,4.7,4.47,4,1
pad,noun.substance,4.01,4.43,8.83,7,1
filling,noun.substance,4.19,3.84,6.818509000000001,6,1
bicentennial,noun.time,2.8,2.81,11.22,1,3
midwinter,noun.time,2.53,3.41,9.35,1,2
jiffy,noun.time,2.64,2.33,9.33,1,3
millisecond,noun.time,2.59,2.69,11.11,1,2
noonday,noun.time,2.15,3.84,9.0,1,2
trimester,noun.time,3.07,2.78,12.12,2,2
pus,noun.time,3.02,4.52,7.78,3,1
weekday,noun.time,3.31,3.18,6.78,1,1
octave,noun.time,3.08,3.31,9.39,3,1
circumcision,noun.time,3.21,4.13,12.11,3,1
preseason,noun.time,3.65,2.56,10.06,1,1
daylight,noun.time,3.84,4.1,4.94,2,1
flush,noun.time,3.8,3.72,5.17,7,1
wartime,noun.time,3.59,2.63,8.22,1,1
eternity,noun.time,3.8,1.46,8.6,3,1
presidency,noun.time,4.16,3.5,8.44,2,1
childhood,noun.time,4.51,2.53,7.94,2,1
saturday,noun.time,4.87,3.07,5.480882,1,2
evening,noun.time,4.86,3.26,5.84,3,1
festival,noun.time,4.72,4.33,8.39,2,1
moment,noun.time,5.24,1.61,7.95,6,1
tomorrow,noun.time,5.02,2.04,5.187988000000001,2,1
month,noun.time,5.25,4.2,5.79,2,1
leave,noun.time,5.34,2.53,5.58,3,1
january,noun.time,5.09,3.13,5.5183550000000015,1,2
