concept,supersense,zipf,conc,aoa,polysemy,n_tokens
sweat,noun.body,4.14,4.71,7.26,4,1
beard,noun.body,4.07,4.96,4.84,5,1
permanent,noun.body,4.57,2.76,7.75,1,1
quick,noun.body,4.98,2.89,5.89,1,1
arm,noun.body,4.73,4.96,3.26,6,1
fairyland,noun.cognition,2.39,2.93,8.22,2,2
shrewdness,noun.cognition,1.99,1.64,11.82,1,4
proctology,noun.cognition,1.48,3.28,16.82,1,3
unconventionality,noun.cognition,1.27,1.39,13.22,2,3
overconfidence,noun.cognition,2.35,1.81,10.47,1,2
metaphysics,noun.cognition,3.08,2.0,14.88,1,2
dermatology,noun.cognition,2.93,2.92,12.3,1,2
pyrotechnics,noun.cognition,2.6,4.0,14.62,3,4
counterterrorism,noun.cognition,2.85,2.07,16.5,1,2
fanaticism,noun.cognition,2.73,1.62,15.0,1,2
atheism,noun.cognition,3.45,2.23,12.69,2,2
disregard,noun.cognition,3.66,1.9,10.35,2,1
cornerstone,noun.cognition,3.39,4.04,11.74,3,1
aesthetics,noun.cognition,3.59,2.22,15.06,2,1
bandwagon,noun.cognition,3.26,3.29,11.05,2,2
projection,noun.cognition,3.79,3.16,10.0,10,1
compound,noun.cognition,4.18,3.03,11.26,3,1
coma,noun.cognition,3.74,3.69,10.83,3,1
neglect,noun.cognition,3.79,2.26,9.84,5,1
precedent,noun.cognition,3.78,1.63,10.53,4,1
science,noun.cognition,5.12,2.79,7.32,2,1
view,noun.cognition,5.19,3.21,5.63,10,1
program,noun.cognition,5.27,3.43,8.2,8,1
method,noun.cognition,4.8,2.41,11.15,2,1
feature,noun.cognition,4.82,2.96,7.0,6,1
powwow,noun.communication,2.27,4.07,9.11,2,2
digression,noun.communication,2.25,1.81,14.89,3,2
ragtime,noun.communication,2.57,3.04,11.94,1,2
earful,noun.communication,2.3,1.96,8.32,2,2
nominative,noun.communication,2.57,1.75,13.8,1,2
orchestration,noun.communication,2.74,2.82,11.89,3,2
reissue,noun.communication,3.01,2.15,12.16,1,2
underline,noun.communication,2.98,3.95,6.67,1,1
overestimate,noun.communication,2.83,1.7,12.53,2,2
recitation,noun.communication,2.9,3.08,13.56,4,2
pedal,noun.communication,3.64,4.44,6.5,2,1
affidavit,noun.communication,3.38,4.0,15.69,1,1
gag,noun.communication,3.63,4.37,7.58,2,1
outcry,noun.communication,3.21,3.23,10.11,1,1
concession,noun.communication,3.57,2.71,9.33,3,1
pact,noun.communication,3.73,2.52,9.37,1,1
keen,noun.communication,4.13,1.61,10.7,1,1
theatrical,noun.communication,3.68,2.18,9.44,1,1
beam,noun.communication,4.14,3.96,8.78,7,1
gossip,noun.communication,3.88,3.0,9.16,3,1
tag,noun.communication,4.44,4.25,5.0,5,1
software,noun.communication,4.77,4.08,12.21,1,1
video,noun.communication,5.43,4.67,8.06,4,1
chapter,noun.communication,4.65,3.43,6.42,5,1
publication,noun.communication,4.45,4.41,10.89,4,1
footrace,noun.event,1.73,4.0,9.11,1,2
entombment,noun.event,1.86,3.44,12.11,1,3
oink,noun.event,2.3,3.24,3.44,1,2
emersion,noun.event,1.52,2.83,12.68,2,2
clang,noun.event,2.63,3.96,9.53,1,1
omen,noun.event,3.12,2.69,12.05,2,2
fluctuation,noun.event,2.89,2.36,11.53,3,2
checkmate,noun.event,2.98,3.36,9.0,2,2
withering,noun.event,2.82,3.21,10.18,1,2
eradication,noun.event,3.12,2.3,13.67,1,2
wildfire,noun.event,3.36,4.59,9.56,1,1
immersion,noun.event,3.47,2.64,11.28,5,1
meow,noun.event,3.29,3.92,4.0,1,2
coronation,noun.event,3.45,3.23,12.71,1,2
blowout,noun.event,3.2,3.35,9.42,3,2
crunch,noun.event,3.66,3.36,5.63,3,1
clap,noun.event,3.54,4.16,3.4,3,1
discharge,noun.event,3.93,3.83,10.74,9,1
accommodation,noun.event,4.06,2.96,9.58,6,1
eclipse,noun.event,3.81,4.17,10.21,1,1
touch,noun.event,4.91,3.86,5.16,12,1
boom,noun.event,4.33,3.66,5.56,5,1
case,noun.event,5.55,3.93,6.74,20,1
revolution,noun.event,4.56,2.87,10.0,3,1
accident,noun.event,4.71,3.26,5.3,2,1
defeatism,noun.feeling,2.14,1.75,14.06,1,2
lightheartedness,noun.feeling,1.61,2.14,10.44,1,6
timidity,noun.feeling,2.34,1.97,10.83,2,2
protectiveness,noun.feeling,1.9,2.21,10.26,2,2
hesitance,noun.feeling,1.91,1.69,11.59,1,3
stupor,noun.feeling,2.72,2.7,13.11,2,2
fearlessness,noun.feeling,2.46,2.03,9.0,2,2
exuberance,noun.feeling,2.79,1.66,13.39,2,3
trepidation,noun.feeling,2.72,1.68,14.88,1,3
sulk,noun.feeling,2.55,2.86,7.84,1,2
reverence,noun.feeling,3.22,1.7,13.06,3,1
propensity,noun.feeling,3.16,1.89,15.56,3,1
fondness,noun.feeling,3.14,1.66,10.5,3,2
pessimism,noun.feeling,2.97,1.88,12.42,2,2
zest,noun.feeling,3.19,2.27,10.56,2,1
disdain,noun.feeling,3.33,1.83,13.44,2,1
wrath,noun.feeling,3.7,2.42,10.17,2,1
resentment,noun.feeling,3.61,1.78,11.53,1,1
sincerity,noun.feeling,3.34,1.97,8.67,4,1
forgiveness,noun.feeling,3.87,1.44,6.68,2,1
hope,noun.feeling,5.44,1.25,4.89,6,1
excitement,noun.feeling,4.19,2.48,7.2,4,1
mood,noun.feeling,4.44,1.75,6.58,3,1
alarm,noun.feeling,4.28,4.47,6.39,4,1
despite,noun.feeling,5.0,1.33,9.109764,2,1
peppercorn,noun.food,2.27,4.89,11.42,1,3
eclair,noun.food,2.18,4.75,10.76,1,2
souffle,noun.food,2.27,4.57,11.8,1,3
