concept,source,n_words,zipf_head,zipf_min,conc,aoa,wn_senses,wn_depth,ev_frac_llama8b,val_r_llama8b,ev_frac_falcon3b,val_r_falcon3b,zipf_bin,conc_bin
worry,wordnet_noun,1,4.84,4.84,2.55,6.61,8,7.0,,,,,freq,mid
people,fears,1,6.25,6.25,4.82,3.52,6,8.0,,,,,freq,concrete
paper,fears,1,5.07,5.07,4.93,4.0,9,9.0,,,,,freq,concrete
Little Rock,places,2,5.03,5.03,4.91,3.22,9,14.0,,,,,freq,concrete
silver,fears,1,4.81,4.81,4.52,6.21,12,10.0,,,,,freq,concrete
water,fears,1,5.52,5.52,5.0,2.37,10,9.0,,,,,freq,concrete
bad breath,fears,2,4.52,4.52,4.36,5.81,5,10.0,,,,,freq,concrete
rooms,fears,1,4.56,4.56,4.57,4.11,6,8.0,,,,,freq,concrete
Mexico City,places,2,5.61,4.75,4.79,6.56,3,8.0,,,,,freq,concrete
snow,fears,1,4.66,4.66,4.85,4.11,6,9.0,,,,,freq,concrete
money,fears,1,5.64,5.64,4.54,5.11,3,7.0,,,,,freq,concrete
