concept,source,n_words,zipf_head,zipf_min,conc,aoa,wn_senses,wn_depth,ev_frac_llama8b,val_r_llama8b,ev_frac_falcon3b,val_r_falcon3b
chukka,wordnet_noun,1,2.1,2.1,,13.67,2,8.0,,,,
chum,wordnet_noun,1,2.97,2.97,3.81,9.24,3,16.0,,,,
chump,wordnet_noun,1,2.91,2.91,3.19,10.95,1,8.0,,,,
chunk,wordnet_noun,1,3.64,3.64,3.86,8.53,4,5.0,,,,
chunking,wordnet_noun,1,2.0,2.0,,,3,8.0,,,,
church,wordnet_noun,1,5.16,5.16,4.9,5.15,5,9.0,,,,
churchman,wordnet_noun,1,2.42,2.42,4.19,8.84,1,10.0,,,,
churchyard,wordnet_noun,1,2.92,2.92,4.93,6.42,1,8.0,,,,
churn,wordnet_noun,1,3.07,3.07,4.0,9.0,3,8.0,,,,
chute,wordnet_noun,1,3.19,3.19,4.61,7.68,3,9.0,,,,
chutney,wordnet_noun,1,2.74,2.74,,14.75,1,9.0,,,,
chutzpah,wordnet_noun,1,2.32,2.32,,13.5,1,8.0,,,,
ciao,wordnet_noun,1,2.81,2.81,,,1,5.0,,,,
cicada,wordnet_noun,1,2.49,2.49,,11.54,1,11.0,,,,
cicero,wordnet_noun,1,3.18,3.18,,,2,11.0,,,,
cichlid,wordnet_noun,1,2.01,2.01,,,1,15.0,,,,
cider,wordnet_noun,1,3.5,3.5,4.97,5.83,1,8.0,,,,
cigar,wordnet_noun,1,3.57,3.57,4.93,7.67,1,10.0,,,,
cigarette,wordnet_noun,1,4.06,4.06,4.88,6.39,1,10.0,,,,
cilantro,wordnet_noun,1,2.89,2.89,4.45,12.27,2,9.0,,,,
cimarron,wordnet_noun,1,2.24,2.24,,,2,17.0,,,,
cinch,wordnet_noun,1,2.65,2.65,3.07,10.72,6,9.0,,,,
cinder,wordnet_noun,1,2.96,2.96,4.54,7.57,1,5.0,,,,
cinema,wordnet_noun,1,4.17,4.17,4.69,8.85,2,8.0,,,,
cinematographer,wordnet_noun,1,2.88,2.88,4.32,13.53,1,10.0,,,,
cinematography,wordnet_noun,1,3.24,3.24,3.52,13.78,1,9.0,,,,
cinnabar,wordnet_noun,1,2.23,2.23,,,3,13.0,,,,
cinnamon,wordnet_noun,1,3.7,3.7,4.85,5.37,3,12.0,,,,
cinque,wordnet_noun,1,2.56,2.56,,,1,7.0,,,,
cipher,wordnet_noun,1,3.12,3.12,3.58,13.82,7,8.0,,,,
ciprofloxacin,wordnet_noun,1,2.1,2.1,,,1,9.0,,,,
circle,wordnet_noun,1,4.55,4.55,4.44,3.67,11,9.0,,,,
circlet,wordnet_noun,1,2.02,2.02,,,2,9.0,,,,
circuit,wordnet_noun,1,4.47,4.47,3.83,11.78,8,10.0,,,,
circuitry,wordnet_noun,1,3.07,3.07,3.85,12.62,1,8.0,,,,
circular,wordnet_noun,1,3.96,3.96,3.79,7.68,3,6.0,,,,
circulation,wordnet_noun,1,3.96,3.96,3.03,10.05,6,12.0,,,,
circumcision,wordnet_noun,1,3.21,3.21,4.13,12.11,3,11.0,,,,
circumference,wordnet_noun,1,3.18,3.18,3.96,11.84,3,8.0,,,,
circumflex,wordnet_noun,1,2.22,2.22,,,1,8.0,,,,
circumstance,wordnet_noun,1,3.66,3.66,1.77,9.84,4,7.0,,,,
circumstances,wordnet_noun,1,4.59,4.59,1.59,,6,7.0,,,,
circumvention,wordnet_noun,1,2.3,2.3,,,1,8.0,,,,
circus,wordnet_noun,1,3.98,3.98,4.43,4.53,6,9.0,,,,
cirque,wordnet_noun,1,2.96,2.96,,14.36,1,6.0,,,,
cirrhosis,wordnet_noun,1,2.88,2.88,,13.07,1,11.0,,,,
cirrus,wordnet_noun,1,2.65,2.65,,11.08,3,8.0,,,,
cisco,wordnet_noun,1,3.49,3.49,,,2,15.0,,,,
cistern,wordnet_noun,1,2.69,2.69,,12.0,3,10.0,,,,
citadel,wordnet_noun,1,3.33,3.33,4.61,13.13,1,8.0,,,,
citation,wordnet_noun,1,3.82,3.82,3.66,12.95,6,17.0,,,,
cite,wordnet_noun,1,3.67,3.67,3.07,13.29,8,7.0,,,,
citizen,wordnet_noun,1,4.39,4.39,4.43,7.74,1,8.0,,,,
citizenry,wordnet_noun,1,2.93,2.93,2.65,12.9,1,3.0,,,,
citizenship,wordnet_noun,1,4.1,4.1,2.96,9.95,2,6.0,,,,
citrate,wordnet_noun,1,2.87,2.87,,15.8,2,10.0,,,,
citrine,wordnet_noun,1,2.32,2.32,,,1,8.0,,,,
citron,wordnet_noun,1,2.45,2.45,,,2,13.0,,,,
citrus,wordnet_noun,1,3.58,3.58,4.21,6.63,2,12.0,,,,
city,wordnet_noun,1,5.61,5.61,4.79,6.56,3,8.0,,,,
cityscape,wordnet_noun,1,2.63,2.63,4.69,13.42,2,9.0,,,,
civet,wordnet_noun,1,2.12,2.12,,11.33,1,13.0,,,,
civics,wordnet_noun,1,2.89,2.89,2.21,11.35,1,9.0,,,,
civilian,wordnet_noun,1,4.23,4.23,4.25,9.76,2,9.0,,,,
civilisation,wordnet_noun,1,3.37,3.37,,,4,5.0,,,,
civility,wordnet_noun,1,3.03,3.03,1.62,13.38,2,7.0,,,,
civilization,wordnet_noun,1,4.01,4.01,3.32,10.0,4,5.0,,,,
clack,wordnet_noun,1,2.61,2.61,,9.38,5,10.0,,,,
cladding,wordnet_noun,1,2.88,2.88,,,1,7.0,,,,
clade,wordnet_noun,1,2.37,2.37,,,1,4.0,,,,
claim,wordnet_noun,1,4.95,4.95,2.96,9.05,11,10.0,,,,
claimant,wordnet_noun,1,3.14,3.14,3.36,,1,8.0,,,,
clairvoyance,wordnet_noun,1,2.41,2.41,1.69,13.06,1,5.0,,,,
clairvoyant,wordnet_noun,1,2.64,2.64,2.31,12.33,3,9.0,,,,
